operator_id,total_records,incoming_records,outgoing_records,incoming_missed,incoming_answered_durations_sum,incoming_answered_count,outgoing_count,avg_time_to_answer_incoming,incoming_missed_rate,outgoing_rate,flag_high_missed,flag_slow_answer,flag_low_outgoing,ineficaz
896708.0,34,11,23,0,7610,11,23,691.8181818181819,0.0,0.6764705882352942,False,False,False,False
897030.0,21,5,16,0,181,5,16,36.2,0.0,0.7619047619047619,False,False,False,False
897872.0,29,3,26,1,71,2,26,35.5,0.3333333333333333,0.896551724137931,True,False,False,False
897894.0,5,0,5,0,0,0,5,,,1.0,False,False,False,False
898414.0,7,3,4,1,1604,2,4,802.0,0.3333333333333333,0.5714285714285714,True,False,False,False
898422.0,22,10,12,1,4655,9,12,517.2222222222222,0.1,0.5454545454545454,False,False,False,False
898434.0,6,0,6,0,0,0,6,,,1.0,False,False,False,False
898558.0,12,12,0,0,800,12,0,66.66666666666667,0.0,0.0,False,False,True,False
898560.0,8,8,0,0,1152,8,0,144.0,0.0,0.0,False,False,True,False
898676.0,2,2,0,0,157,2,0,78.5,0.0,0.0,False,False,True,False
898892.0,46,10,36,0,1749,10,36,174.9,0.0,0.782608695652174,False,False,False,False
898902.0,7,0,7,0,0,0,7,,,1.0,False,False,False,False
898906.0,13,4,9,0,2131,4,9,532.75,0.0,0.6923076923076923,False,False,False,False
898920.0,5,2,3,0,1478,2,3,739.0,0.0,0.6,False,False,False,False
899076.0,2,0,2,0,0,0,2,,,1.0,False,False,False,False
899082.0,205,69,136,1,53265,68,136,783.3088235294117,0.014492753623188406,0.6634146341463415,False,False,False,False
899250.0,216,84,132,5,24720,79,132,312.9113924050633,0.05952380952380952,0.6111111111111112,False,False,False,False
899268.0,24,24,0,2,3166,22,0,143.9090909090909,0.08333333333333333,0.0,False,False,True,False
899788.0,39,0,39,0,0,0,39,,,1.0,False,False,False,False
899790.0,33,0,33,0,0,0,33,,,1.0,False,False,False,False
899892.0,3,3,0,0,191,3,0,63.666666666666664,0.0,0.0,False,False,True,False
899898.0,2,2,0,0,1180,2,0,590.0,0.0,0.0,False,False,True,False
899900.0,2,2,0,0,382,2,0,191.0,0.0,0.0,False,False,True,False
899906.0,1,1,0,0,626,1,0,626.0,0.0,0.0,False,False,True,False
